token_age_b,transfers,transactions,buys_m5,sells_m5,buys_h1,sells_h1,volume_m5,volume_h1,price_change_m5,price_change_h1,price_change_h6,price_change_h24,liquidity,market_cap,is_mutable_metadata,is_telegram,is_twitter,is_website,boosts,telegram_members,twitter_days,twitter_tweets,twitter_followers,twitter_smart_followers,sns_held_all,sns_sold_some,sns_sold_all,PNL,profit,sns_most_common,sns_most_common_except_0,tt_f10_bought,tt_f10_sold,sns_f10_bought,sns_f10_sold,sns_no_bought,sns_no_sold,tt_no_bought,tt_no_sold,sns_pnl_loss,tt_pnl_loss
2.56,0.0,895.0,518.0,377.0,518.0,377.0,181635.75,181635.75,103.0,103.0,103.0,103.0,54840.84,190889.0,0,0,0,0,0,0,0,0,0,0,15,29,56,-23.38,0,0.0,23.0,21970.0,71773.0,15351.460000000001,25450.1,41,15,63,0,15,0
4.83,0.0,976.0,555.0,421.0,555.0,421.0,173996.73,173996.73,-34.69,-34.69,-34.69,-34.69,34108.77,73786.0,0,0,0,0,0,0,0,0,0,0,31,42,27,-77.54,0,0.0,0.1,51686.0,66027.0,27595.430000000004,27194.17,16,31,12,0,27,0
10.08,0.0,804.0,184.0,150.0,491.0,313.0,63734.63,140279.41,34.66,114.0,114.0,114.0,55050.86,193855.0,0,1,1,0,0,3,0,0,8,0,25,11,64,-22.24,0,0.0,23.0,18483.0,33146.0,15196.62,18838.29,13,25,36,0,10,0
31.1,0.0,2185.0,260.0,45.0,1912.0,273.0,33611.96,634534.54,5.07,5199701.0,5199701.0,5199701.0,763291.57,6147656555.0,1,0,1,0,10,0,0,0,0,0,55,9,36,-98.28,0,0.1,0.1,51010.73,104774.51000000002,368707.82999999943,10472.64,6,55,17,15,12,0
20.09,0.0,2589.0,307.0,188.0,1602.0,987.0,247088.62,1245393.95,-52.29,23016.0,23016.0,23016.0,52585.8,26544853.0,1,0,0,0,0,0,0,0,0,0,75,15,10,-37.72,0,0.1,0.1,39522.53999999997,613375.0999999999,164357.37999999998,147105.24,3,75,4,23,3,17
28.41,0.0,253.0,1.0,0.0,120.0,133.0,23.55,42281.71,1.39,-95.19,-95.19,-95.19,8395.16,4533.0,0,0,0,0,0,0,0,0,0,0,16,7,77,-8.36,0,0.0,23.0,1487.2300000000002,25089.88,11914.450000000003,26247.260000000006,34,16,38,21,49,32
29.5,0.0,800.0,1.0,5.0,357.0,443.0,67.21,99553.92,0.19,-93.75,-93.75,-93.75,9436.56,5672.0,0,0,0,0,0,0,0,0,0,0,12,4,84,-4.81,0,0.0,11.0,1862.0,38854.0,13941.500000000002,18758.71,44,12,90,0,43,0
12.18,0.0,589.0,41.0,24.0,352.0,237.0,6623.72,85539.83,62.44,-69.58,-69.58,-69.58,23217.68,34457.0,0,0,0,0,0,0,0,0,0,0,20,15,65,81.77,1,0.0,0.1,12925.420000000002,37590.51000000001,17302.010000000002,30131.219999999998,22,20,28,5,28,0
47.45,0.0,453.0,4.0,4.0,253.0,200.0,87.11,64981.04,-0.14,9.85,9.85,9.85,39993.72,103293.0,0,0,0,0,0,0,0,0,0,0,44,3,53,-27.69,0,0.0,23.0,14505.430000000002,28510.78,12600.029999999999,10043.810000000001,18,44,37,6,8,1
29.11,0.0,8446.0,641.0,594.0,4468.0,3978.0,236258.55,1736900.27,25.46,67.42,67.42,67.42,53201.09,154053.0,0,0,1,0,0,0,0,0,0,0,13,34,53,-83.41,0,23.0,23.0,310694.0,329166.0,92284.64,96601.34,4,13,10,0,18,0
40.18,0.0,3217.0,119.0,90.0,1878.0,1339.0,58407.58,584151.89,1.3,235.0,235.0,235.0,69858.87,302026.0,0,1,1,1,0,32,0,0,0,0,17,17,66,-20.52,0,0.0,23.0,44864.0,100063.0,23292.769999999997,25216.960000000003,15,18,50,0,7,0
35.32,0.0,22973.0,139.0,130.0,21554.0,1419.0,36731.63,457261.15,31.5,-49.27,-49.27,-49.27,27534.35,46377.0,0,1,1,1,500,46,0,0,0,0,15,20,65,76.73,1,0.0,11.0,8713.0,69190.0,9696.200000000003,15002.95,11,15,83,0,13,0
2.88,0.0,32.0,27.0,5.0,27.0,5.0,755.6,755.6,56.45,56.45,56.45,56.45,4737.05,3295.0,0,0,0,0,0,0,0,0,0,0,20,5,2,-20.75,0,2.36,2.36,611.5900000000001,316.0,611.59,316.0,0,20,0,20,2,2
2.25,0.0,51.0,35.0,16.0,35.0,16.0,67249.34,67249.34,115150.0,115150.0,115150.0,115150.0,114211.0,132309106.0,1,0,0,0,0,0,0,0,0,0,78,4,18,-51.34,0,0.1,0.1,12882.979999999998,25962.68,77885.80999999998,25962.679999999997,15,78,15,78,3,6
3.75,0.0,75.0,72.0,3.0,72.0,3.0,378846.74,378846.74,51350722.0,51350722.0,51350722.0,51350722.0,759421.26,6066658023.0,0,0,0,0,0,0,0,0,0,0,77,0,3,60.52,1,0.1,0.1,378705.13,30.04,378705.1299999994,30.04,4,77,4,77,1,1
